"1870";"DPA";"NACIONAL / ANGOLA (DPA)";"1";"/293/2/";"/293/"
"232530";"1";"MESA 1";"128";"/293/2/15/6/3/40/1/";"/293/2/15/6/3/40/"
"232531";"2";"MESA 2";"128";"/293/2/15/6/3/40/2/";"/293/2/15/6/3/40/"
"232538";"9276";"LUNGE ESCOLA PRIMÁRIA DE CASSENJE";"64";"/293/2/15/6/3/41/";"/293/2/15/6/3/"
"232539";"1";"MESA 1";"128";"/293/2/15/6/3/41/1/";"/293/2/15/6/3/41/"
"232540";"2";"MESA 2";"128";"/293/2/15/6/3/41/2/";"/293/2/15/6/3/41/"
"694667";"3";"MESA 3";"128";"/293/2/15/6/3/41/3/";"/293/2/15/6/3/41/"
"694672";"9287";"LUNGE LOMANDA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/3/42/";"/293/2/15/6/3/"
"694673";"1";"MESA 1";"128";"/293/2/15/6/3/42/1/";"/293/2/15/6/3/42/"
"694674";"9292";"LUNGE SATIVA (TENDA)";"64";"/293/2/15/6/3/43/";"/293/2/15/6/3/"
"694675";"1";"MESA 1";"128";"/293/2/15/6/3/43/1/";"/293/2/15/6/3/43/"
"694677";"9301";"LUNGE CHIPANJI ESCOLA PRIMÁRIA";"64";"/293/2/15/6/3/44/";"/293/2/15/6/3/"
"694678";"1";"MESA 1";"128";"/293/2/15/6/3/44/1/";"/293/2/15/6/3/44/"
"694679";"2";"MESA 2";"128";"/293/2/15/6/3/44/2/";"/293/2/15/6/3/44/"
"694687";"9314";"LUNGE CASSOLECA JUNTO DA IGREJA FÉ APOSTOLICA DO PASTORADO D";"64";"/293/2/15/6/3/45/";"/293/2/15/6/3/"
"694688";"1";"MESA 1";"128";"/293/2/15/6/3/45/1/";"/293/2/15/6/3/45/"
"231466";"8869";"LUNGE ULUNDO JUNTO À IGREJA CATÓLICA (TENDA)";"64";"/293/2/15/6/3/5/";"/293/2/15/6/3/"
"231467";"1";"MESA 1";"128";"/293/2/15/6/3/5/1/";"/293/2/15/6/3/5/"
"231469";"8899";"LUNGE CAIUMBI ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/3/6/";"/293/2/15/6/3/"
"231470";"1";"MESA 1";"128";"/293/2/15/6/3/6/1/";"/293/2/15/6/3/6/"
"231472";"8913";"BAILUNDO SAILUNDO ESCOLA PRIMÁRIA";"64";"/293/2/15/6/3/7/";"/293/2/15/6/3/"
"231473";"1";"MESA 1";"128";"/293/2/15/6/3/7/1/";"/293/2/15/6/3/7/"
"231474";"2";"MESA 2";"128";"/293/2/15/6/3/7/2/";"/293/2/15/6/3/7/"
"231476";"8914";"LUNGE CANHUMBO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/3/8/";"/293/2/15/6/3/"
"231477";"1";"MESA 1";"128";"/293/2/15/6/3/8/1/";"/293/2/15/6/3/8/"
"231504";"8933";"LUNGE MBAHU (TENDA)";"64";"/293/2/15/6/3/9/";"/293/2/15/6/3/"
"231505";"1";"MESA 1";"128";"/293/2/15/6/3/9/1/";"/293/2/15/6/3/9/"
"3659";"130104";"LUVEMBA";"8";"/293/2/15/6/4/";"/293/2/15/6/"
"232727";"9015";"LUVEMBA ESCOLA PRIMÁRIA - CAMBALA";"64";"/293/2/15/6/4/1/";"/293/2/15/6/4/"
"232728";"1";"MESA 1";"128";"/293/2/15/6/4/1/1/";"/293/2/15/6/4/1/"
"232868";"9154";"LUVEMBA CHITETA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/10/";"/293/2/15/6/4/"
"232869";"1";"MESA 1";"128";"/293/2/15/6/4/10/1/";"/293/2/15/6/4/10/"
"232870";"2";"MESA 2";"128";"/293/2/15/6/4/10/2/";"/293/2/15/6/4/10/"
"232871";"9158";"LUVEMBA NGANDA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/11/";"/293/2/15/6/4/"
"232872";"1";"MESA 1";"128";"/293/2/15/6/4/11/1/";"/293/2/15/6/4/11/"
"232873";"2";"MESA 2";"128";"/293/2/15/6/4/11/2/";"/293/2/15/6/4/11/"
"232876";"9160";"LUVEMBA CHINJAMBA CAPINGALA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/12/";"/293/2/15/6/4/"
"232877";"1";"MESA 1";"128";"/293/2/15/6/4/12/1/";"/293/2/15/6/4/12/"
"232878";"9179";"LUVEMBA CAMBENJE ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/13/";"/293/2/15/6/4/"
"232879";"1";"MESA 1";"128";"/293/2/15/6/4/13/1/";"/293/2/15/6/4/13/"
"232880";"9183";"LUVEMBA ESCOLA PRIMÁRIA COMUNITÁRIA - ESSAVI";"64";"/293/2/15/6/4/14/";"/293/2/15/6/4/"
"232881";"1";"MESA 1";"128";"/293/2/15/6/4/14/1/";"/293/2/15/6/4/14/"
"232892";"9197";"LUVEMBA SANTA CRUZ ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/15/";"/293/2/15/6/4/"
"232893";"1";"MESA 1";"128";"/293/2/15/6/4/15/1/";"/293/2/15/6/4/15/"
"694636";"2";"MESA 2";"128";"/293/2/15/6/4/15/2/";"/293/2/15/6/4/15/"
"232894";"9202";"LUVEMBA NGAMBOLE ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/16/";"/293/2/15/6/4/"
"232895";"1";"MESA 1";"128";"/293/2/15/6/4/16/1/";"/293/2/15/6/4/16/"
"694639";"2";"MESA 2";"128";"/293/2/15/6/4/16/2/";"/293/2/15/6/4/16/"
"232896";"9205";"LUVEMBA CACHIBUELENGUE ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/17/";"/293/2/15/6/4/"
"232897";"1";"MESA 1";"128";"/293/2/15/6/4/17/1/";"/293/2/15/6/4/17/"
"232898";"9215";"LUVEMBA CATANDE ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/18/";"/293/2/15/6/4/"
"232899";"1";"MESA 1";"128";"/293/2/15/6/4/18/1/";"/293/2/15/6/4/18/"
"232900";"2";"MESA 2";"128";"/293/2/15/6/4/18/2/";"/293/2/15/6/4/18/"
"232901";"9219";"LUVEMBA CHICULO PUNGO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/19/";"/293/2/15/6/4/"
"232902";"1";"MESA 1";"128";"/293/2/15/6/4/19/1/";"/293/2/15/6/4/19/"
"232730";"9042";"LUVEMBA CHINHALA ALDEIA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/2/";"/293/2/15/6/4/"
"232731";"1";"MESA 1";"128";"/293/2/15/6/4/2/1/";"/293/2/15/6/4/2/"
"232732";"2";"MESA 2";"128";"/293/2/15/6/4/2/2/";"/293/2/15/6/4/2/"
"232904";"9224";"LUVEMBA LUMANLE (TENDA)";"64";"/293/2/15/6/4/20/";"/293/2/15/6/4/"
"232905";"1";"MESA 1";"128";"/293/2/15/6/4/20/1/";"/293/2/15/6/4/20/"
"232906";"9234";"LUVEMBA CASSAVE ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/21/";"/293/2/15/6/4/"
"232907";"1";"MESA 1";"128";"/293/2/15/6/4/21/1/";"/293/2/15/6/4/21/"
"232916";"9247";"LUVEMBA LUVEMBA VELHA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/22/";"/293/2/15/6/4/"
"232917";"1";"MESA 1";"128";"/293/2/15/6/4/22/1/";"/293/2/15/6/4/22/"
"232918";"2";"MESA 2";"128";"/293/2/15/6/4/22/2/";"/293/2/15/6/4/22/"
"232919";"9253";"LUVEMBA CHISSANGA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/23/";"/293/2/15/6/4/"
"232920";"1";"MESA 1";"128";"/293/2/15/6/4/23/1/";"/293/2/15/6/4/23/"
"694656";"2";"MESA 2";"128";"/293/2/15/6/4/23/2/";"/293/2/15/6/4/23/"
"694657";"3";"MESA 3";"128";"/293/2/15/6/4/23/3/";"/293/2/15/6/4/23/"
"233017";"9271";"LUVEMBA CAPONDE ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/24/";"/293/2/15/6/4/"
"233018";"1";"MESA 1";"128";"/293/2/15/6/4/24/1/";"/293/2/15/6/4/24/"
"233020";"9279";"LUVEMBA CHITEVA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/25/";"/293/2/15/6/4/"
"233021";"1";"MESA 1";"128";"/293/2/15/6/4/25/1/";"/293/2/15/6/4/25/"
"233023";"9290";"LUVEMBA SACHIPUPA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/26/";"/293/2/15/6/4/"
"233024";"1";"MESA 1";"128";"/293/2/15/6/4/26/1/";"/293/2/15/6/4/26/"
"233025";"9300";"LUVEMBA JANJO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/27/";"/293/2/15/6/4/"
"233026";"1";"MESA 1";"128";"/293/2/15/6/4/27/1/";"/293/2/15/6/4/27/"
"233027";"2";"MESA 2";"128";"/293/2/15/6/4/27/2/";"/293/2/15/6/4/27/"
"233029";"9307";"LUVEMBA CANDEMBA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/28/";"/293/2/15/6/4/"
"233030";"1";"MESA 1";"128";"/293/2/15/6/4/28/1/";"/293/2/15/6/4/28/"
"694682";"2";"MESA 2";"128";"/293/2/15/6/4/28/2/";"/293/2/15/6/4/28/"
"233031";"9312";"LUVEMBA CANHUAHOSSI ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/29/";"/293/2/15/6/4/"
"233032";"1";"MESA 1";"128";"/293/2/15/6/4/29/1/";"/293/2/15/6/4/29/"
"232733";"9060";"LUVEMBA CANGUENGUE ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/3/";"/293/2/15/6/4/"
"232734";"1";"MESA 1";"128";"/293/2/15/6/4/3/1/";"/293/2/15/6/4/3/"
"232854";"9069";"LUVEMBA CANDANDI CUSSO ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/4/";"/293/2/15/6/4/"
"232855";"1";"MESA 1";"128";"/293/2/15/6/4/4/1/";"/293/2/15/6/4/4/"
"232856";"9091";"LUVEMBA CAVINDA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/5/";"/293/2/15/6/4/"
"232857";"1";"MESA 1";"128";"/293/2/15/6/4/5/1/";"/293/2/15/6/4/5/"
"232859";"9094";"LUVEMBA MBAHU OMBALA CANGUENGUE (TENDA)";"64";"/293/2/15/6/4/6/";"/293/2/15/6/4/"
"232860";"1";"MESA 1";"128";"/293/2/15/6/4/6/1/";"/293/2/15/6/4/6/"
"232861";"9109";"LUVEMBA CHINJAMBA ELAVOCO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/4/7/";"/293/2/15/6/4/"
"232862";"1";"MESA 1";"128";"/293/2/15/6/4/7/1/";"/293/2/15/6/4/7/"
"232863";"9114";"LUVEMBA ASSONGO ESCOLA PRIMÁRIA";"64";"/293/2/15/6/4/8/";"/293/2/15/6/4/"
"232864";"1";"MESA 1";"128";"/293/2/15/6/4/8/1/";"/293/2/15/6/4/8/"
"694597";"2";"MESA 2";"128";"/293/2/15/6/4/8/2/";"/293/2/15/6/4/8/"
"232865";"9151";"LUVEMBA SEDE ESCOLA PRIMÁRIA E DO 1º CICLO";"64";"/293/2/15/6/4/9/";"/293/2/15/6/4/"
"232866";"1";"MESA 1";"128";"/293/2/15/6/4/9/1/";"/293/2/15/6/4/9/"
"232867";"2";"MESA 2";"128";"/293/2/15/6/4/9/2/";"/293/2/15/6/4/9/"
"694617";"3";"MESA 3";"128";"/293/2/15/6/4/9/3/";"/293/2/15/6/4/9/"
"3660";"130105";"HENGUE";"8";"/293/2/15/6/5/";"/293/2/15/6/"
"232911";"9255";"BIMBE JAMBASSITA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/1/";"/293/2/15/6/5/"
"232912";"1";"MESA 1";"128";"/293/2/15/6/5/1/1/";"/293/2/15/6/5/1/"
"232913";"2";"MESA 2";"128";"/293/2/15/6/5/1/2/";"/293/2/15/6/5/1/"
"232944";"9311";"HENGUE CHITUNO ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/10/";"/293/2/15/6/5/"
"232945";"1";"MESA 1";"128";"/293/2/15/6/5/10/1/";"/293/2/15/6/5/10/"
"232946";"2";"MESA 2";"128";"/293/2/15/6/5/10/2/";"/293/2/15/6/5/10/"
"694684";"3";"MESA 3";"128";"/293/2/15/6/5/10/3/";"/293/2/15/6/5/10/"
"232947";"9333";"HENGUE ESCOLA PRIMÁRIA QUINZE";"64";"/293/2/15/6/5/11/";"/293/2/15/6/5/"
"232948";"1";"MESA 1";"128";"/293/2/15/6/5/11/1/";"/293/2/15/6/5/11/"
"232949";"2";"MESA 2";"128";"/293/2/15/6/5/11/2/";"/293/2/15/6/5/11/"
"232950";"9335";"HENGUE CHICUNDA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/12/";"/293/2/15/6/5/"
"232951";"1";"MESA 1";"128";"/293/2/15/6/5/12/1/";"/293/2/15/6/5/12/"
"232952";"2";"MESA 2";"128";"/293/2/15/6/5/12/2/";"/293/2/15/6/5/12/"
"694700";"3";"MESA 3";"128";"/293/2/15/6/5/12/3/";"/293/2/15/6/5/12/"
"694701";"4";"MESA 4";"128";"/293/2/15/6/5/12/4/";"/293/2/15/6/5/12/"
"232953";"9337";"HENGUE CHALISSEIA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/13/";"/293/2/15/6/5/"
"232954";"1";"MESA 1";"128";"/293/2/15/6/5/13/1/";"/293/2/15/6/5/13/"
"232960";"9339";"HENGUE CHIQUENGUE ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/14/";"/293/2/15/6/5/"
"232961";"1";"MESA 1";"128";"/293/2/15/6/5/14/1/";"/293/2/15/6/5/14/"
"694703";"2";"MESA 2";"128";"/293/2/15/6/5/14/2/";"/293/2/15/6/5/14/"
"232962";"9341";"HENGUE BETÂNIA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/15/";"/293/2/15/6/5/"
"232963";"1";"MESA 1";"128";"/293/2/15/6/5/15/1/";"/293/2/15/6/5/15/"
"694704";"2";"MESA 2";"128";"/293/2/15/6/5/15/2/";"/293/2/15/6/5/15/"
"232973";"9347";"HENGUE CAPALI ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/16/";"/293/2/15/6/5/"
"232974";"1";"MESA 1";"128";"/293/2/15/6/5/16/1/";"/293/2/15/6/5/16/"
"232976";"9350";"HENGUE SEDE ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/17/";"/293/2/15/6/5/"
"232977";"1";"MESA 1";"128";"/293/2/15/6/5/17/1/";"/293/2/15/6/5/17/"
"232978";"2";"MESA 2";"128";"/293/2/15/6/5/17/2/";"/293/2/15/6/5/17/"
"694707";"3";"MESA 3";"128";"/293/2/15/6/5/17/3/";"/293/2/15/6/5/17/"
"694708";"4";"MESA 4";"128";"/293/2/15/6/5/17/4/";"/293/2/15/6/5/17/"
"232979";"9355";"HENGUE NDULO EPANDA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/18/";"/293/2/15/6/5/"
"232980";"1";"MESA 1";"128";"/293/2/15/6/5/18/1/";"/293/2/15/6/5/18/"
"694709";"2";"MESA 2";"128";"/293/2/15/6/5/18/2/";"/293/2/15/6/5/18/"
"232981";"9357";"HENGUE CHAHONGOLO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/19/";"/293/2/15/6/5/"
"232982";"1";"MESA 1";"128";"/293/2/15/6/5/19/1/";"/293/2/15/6/5/19/"
"232983";"2";"MESA 2";"128";"/293/2/15/6/5/19/2/";"/293/2/15/6/5/19/"
"232914";"9264";"HENGUE EPILA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/2/";"/293/2/15/6/5/"
"232915";"1";"MESA 1";"128";"/293/2/15/6/5/2/1/";"/293/2/15/6/5/2/"
"232984";"9359";"HENGUE HULULA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/20/";"/293/2/15/6/5/"
"232985";"1";"MESA 1";"128";"/293/2/15/6/5/20/1/";"/293/2/15/6/5/20/"
"232986";"9362";"HENGUE LOSSESSE ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/21/";"/293/2/15/6/5/"
"232987";"1";"MESA 1";"128";"/293/2/15/6/5/21/1/";"/293/2/15/6/5/21/"
"694713";"2";"MESA 2";"128";"/293/2/15/6/5/21/2/";"/293/2/15/6/5/21/"
"232988";"9364";"HENGUE CHIVA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/22/";"/293/2/15/6/5/"
"232989";"1";"MESA 1";"128";"/293/2/15/6/5/22/1/";"/293/2/15/6/5/22/"
"694714";"2";"MESA 2";"128";"/293/2/15/6/5/22/2/";"/293/2/15/6/5/22/"
"232990";"9370";"HENGUE CHINJAMBA ESCOLA PRIMÁRIA - JERICÓ";"64";"/293/2/15/6/5/23/";"/293/2/15/6/5/"
"232991";"1";"MESA 1";"128";"/293/2/15/6/5/23/1/";"/293/2/15/6/5/23/"
"232992";"2";"MESA 2";"128";"/293/2/15/6/5/23/2/";"/293/2/15/6/5/23/"
"232994";"9372";"HENGUE CATEMBO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/24/";"/293/2/15/6/5/"
"232995";"1";"MESA 1";"128";"/293/2/15/6/5/24/1/";"/293/2/15/6/5/24/"
"232996";"2";"MESA 2";"128";"/293/2/15/6/5/24/2/";"/293/2/15/6/5/24/"
"694716";"3";"MESA 3";"128";"/293/2/15/6/5/24/3/";"/293/2/15/6/5/24/"
"232997";"9379";"HENGUE CHINJAMBA CAMPO DE FUTEBOL (TENDA)";"64";"/293/2/15/6/5/25/";"/293/2/15/6/5/"
"232998";"1";"MESA 1";"128";"/293/2/15/6/5/25/1/";"/293/2/15/6/5/25/"
"233002";"9381";"HENGUE NGUMBA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/26/";"/293/2/15/6/5/"
"233003";"1";"MESA 1";"128";"/293/2/15/6/5/26/1/";"/293/2/15/6/5/26/"
"233004";"9384";"HENGUE UTENDE ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/27/";"/293/2/15/6/5/"
"233005";"1";"MESA 1";"128";"/293/2/15/6/5/27/1/";"/293/2/15/6/5/27/"
"233006";"2";"MESA 2";"128";"/293/2/15/6/5/27/2/";"/293/2/15/6/5/27/"
"233007";"9385";"HENGUE NAMBA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/28/";"/293/2/15/6/5/"
"233008";"1";"MESA 1";"128";"/293/2/15/6/5/28/1/";"/293/2/15/6/5/28/"
"233011";"9386";"HENGUE CANDOMBO ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/29/";"/293/2/15/6/5/"
"233012";"1";"MESA 1";"128";"/293/2/15/6/5/29/1/";"/293/2/15/6/5/29/"
"232925";"9277";"HENGUE CAPOCO CAMPO DE FUTEBOL (TENDA)";"64";"/293/2/15/6/5/3/";"/293/2/15/6/5/"
"232926";"1";"MESA 1";"128";"/293/2/15/6/5/3/1/";"/293/2/15/6/5/3/"
"694720";"9388";"HENGUE FÁTIMA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/30/";"/293/2/15/6/5/"
"694721";"1";"MESA 1";"128";"/293/2/15/6/5/30/1/";"/293/2/15/6/5/30/"
"232927";"9282";"HENGUE CHIQUENLU ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/4/";"/293/2/15/6/5/"
"232928";"1";"MESA 1";"128";"/293/2/15/6/5/4/1/";"/293/2/15/6/5/4/"
"694670";"2";"MESA 2";"128";"/293/2/15/6/5/4/2/";"/293/2/15/6/5/4/"
"232929";"9283";"HENGUE CAPOCO II 2 KM DE JONATÃO GRACIANO (TENDA)";"64";"/293/2/15/6/5/5/";"/293/2/15/6/5/"
"232930";"1";"MESA 1";"128";"/293/2/15/6/5/5/1/";"/293/2/15/6/5/5/"
"232931";"9288";"HENGUE CALOMBEU ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/6/";"/293/2/15/6/5/"
"232932";"1";"MESA 1";"128";"/293/2/15/6/5/6/1/";"/293/2/15/6/5/6/"
"232933";"9293";"HENGUE BAMBI JUNTO AO JANGO DE REUNIÕES (TENDA)";"64";"/293/2/15/6/5/7/";"/293/2/15/6/5/"
"232934";"1";"MESA 1";"128";"/293/2/15/6/5/7/1/";"/293/2/15/6/5/7/"
"232936";"9294";"BIMBE CAPOCO PASSA ESCOLA PRIMÁRIA (TENDA)";"64";"/293/2/15/6/5/8/";"/293/2/15/6/5/"
"232937";"1";"MESA 1";"128";"/293/2/15/6/5/8/1/";"/293/2/15/6/5/8/"
"232939";"9309";"HENGUE CHIMBILIMA ESCOLA PRIMÁRIA";"64";"/293/2/15/6/5/9/";"/293/2/15/6/5/"
"232940";"1";"MESA 1";"128";"/293/2/15/6/5/9/1/";"/293/2/15/6/5/9/"
"232941";"2";"MESA 2";"128";"/293/2/15/6/5/9/2/";"/293/2/15/6/5/9/"
"3022";"1302";"HUAMBO";"4";"/293/2/15/7/";"/293/2/15/"
"3661";"130201";"HUAMBO";"8";"/293/2/15/7/1/";"/293/2/15/7/"
"230333";"8383";"HUAMBO ESCOLA PRIMÁRIA Nº 55 (CAPANGO)";"64";"/293/2/15/7/1/1/";"/293/2/15/7/1/"
"230334";"1";"MESA 1";"128";"/293/2/15/7/1/1/1/";"/293/2/15/7/1/1/"
"694092";"2";"MESA 2";"128";"/293/2/15/7/1/1/2/";"/293/2/15/7/1/1/"
"694093";"3";"MESA 3";"128";"/293/2/15/7/1/1/3/";"/293/2/15/7/1/1/"
"694094";"4";"MESA 4";"128";"/293/2/15/7/1/1/4/";"/293/2/15/7/1/1/"
"230663";"8392";"HUAMBO ESCOLA PRIMÁRIA Nº 168 - CALILONGUE I (XAVIER SAM (2)";"64";"/293/2/15/7/1/10/";"/293/2/15/7/1/"
"230664";"1";"MESA 1";"128";"/293/2/15/7/1/10/1/";"/293/2/15/7/1/10/"
"230665";"2";"MESA 2";"128";"/293/2/15/7/1/10/2/";"/293/2/15/7/1/10/"
"230666";"3";"MESA 3";"128";"/293/2/15/7/1/10/3/";"/293/2/15/7/1/10/"
"230667";"4";"MESA 4";"128";"/293/2/15/7/1/10/4/";"/293/2/15/7/1/10/"
"231283";"8482";"HUAMBO COMPLEXO ESCOLAR JOMAURA";"64";"/293/2/15/7/1/100/";"/293/2/15/7/1/"
"231284";"1";"MESA 1";"128";"/293/2/15/7/1/100/1/";"/293/2/15/7/1/100/"
"694151";"2";"MESA 2";"128";"/293/2/15/7/1/100/2/";"/293/2/15/7/1/100/"
"694152";"3";"MESA 3";"128";"/293/2/15/7/1/100/3/";"/293/2/15/7/1/100/"
"694153";"4";"MESA 4";"128";"/293/2/15/7/1/100/4/";"/293/2/15/7/1/100/"
"694154";"5";"MESA 5";"128";"/293/2/15/7/1/100/5/";"/293/2/15/7/1/100/"
"231298";"8483";"HUAMBO ESPAÇO ADJACENTE AO MERCADO DA QUISSALA (ALEMANHA)";"64";"/293/2/15/7/1/101/";"/293/2/15/7/1/"
"231299";"1";"MESA 1";"128";"/293/2/15/7/1/101/1/";"/293/2/15/7/1/101/"
"231300";"2";"MESA 2";"128";"/293/2/15/7/1/101/2/";"/293/2/15/7/1/101/"
"694155";"3";"MESA 3";"128";"/293/2/15/7/1/101/3/";"/293/2/15/7/1/101/"
"694156";"4";"MESA 4";"128";"/293/2/15/7/1/101/4/";"/293/2/15/7/1/101/"
"231301";"8484";"HUAMBO ESPAÇO ADJACENTE AO MERCADO DA QUISSALA (ALEMANHA (2)";"64";"/293/2/15/7/1/102/";"/293/2/15/7/1/"
"231302";"1";"MESA 1";"128";"/293/2/15/7/1/102/1/";"/293/2/15/7/1/102/"
"694157";"2";"MESA 2";"128";"/293/2/15/7/1/102/2/";"/293/2/15/7/1/102/"
"694158";"3";"MESA 3";"128";"/293/2/15/7/1/102/3/";"/293/2/15/7/1/102/"
"694159";"4";"MESA 4";"128";"/293/2/15/7/1/102/4/";"/293/2/15/7/1/102/"
"694160";"8485";"HUAMBO ESCOLA PRIMÁRIA Nº 9 CACHINDOMBE (XAVIER SAMACAU)";"64";"/293/2/15/7/1/103/";"/293/2/15/7/1/"
"694161";"1";"MESA 1";"128";"/293/2/15/7/1/103/1/";"/293/2/15/7/1/103/"
"694162";"2";"MESA 2";"128";"/293/2/15/7/1/103/2/";"/293/2/15/7/1/103/"
"694163";"3";"MESA 3";"128";"/293/2/15/7/1/103/3/";"/293/2/15/7/1/103/"
"694164";"4";"MESA 4";"128";"/293/2/15/7/1/103/4/";"/293/2/15/7/1/103/"
"694165";"8486";"HUAMBO ESCOLA PRIMÁRIA Nº 9 CACHINDOMBE (XAVIER SAMACAU) (2)";"64";"/293/2/15/7/1/104/";"/293/2/15/7/1/"
"694166";"1";"MESA 1";"128";"/293/2/15/7/1/104/1/";"/293/2/15/7/1/104/"
"694167";"2";"MESA 2";"128";"/293/2/15/7/1/104/2/";"/293/2/15/7/1/104/"
"694168";"3";"MESA 3";"128";"/293/2/15/7/1/104/3/";"/293/2/15/7/1/104/"
"694169";"4";"MESA 4";"128";"/293/2/15/7/1/104/4/";"/293/2/15/7/1/104/"
"694170";"8487";"HUAMBO COMPLEXO ESCOLAR NGINGA MBANDI - SASSONDE II";"64";"/293/2/15/7/1/105/";"/293/2/15/7/1/"
"694171";"1";"MESA 1";"128";"/293/2/15/7/1/105/1/";"/293/2/15/7/1/105/"
"694172";"2";"MESA 2";"128";"/293/2/15/7/1/105/2/";"/293/2/15/7/1/105/"
"694173";"3";"MESA 3";"128";"/293/2/15/7/1/105/3/";"/293/2/15/7/1/105/"
"694174";"8488";"HUAMBO ESCOLA PRIMÁRIA Nº 156 DO QUILOMBO";"64";"/293/2/15/7/1/106/";"/293/2/15/7/1/"
"694175";"1";"MESA 1";"128";"/293/2/15/7/1/106/1/";"/293/2/15/7/1/106/"
"694176";"2";"MESA 2";"128";"/293/2/15/7/1/106/2/";"/293/2/15/7/1/106/"
"694177";"3";"MESA 3";"128";"/293/2/15/7/1/106/3/";"/293/2/15/7/1/106/"
"694178";"4";"MESA 4";"128";"/293/2/15/7/1/106/4/";"/293/2/15/7/1/106/"
"694179";"5";"MESA 5";"128";"/293/2/15/7/1/106/5/";"/293/2/15/7/1/106/"
"694180";"8489";"HUAMBO TENDA JUNTO A ESCOLA SÃO FRANCISCO DE ASSIS DA MUNDA";"64";"/293/2/15/7/1/107/";"/293/2/15/7/1/"
"694181";"1";"MESA 1";"128";"/293/2/15/7/1/107/1/";"/293/2/15/7/1/107/"
"694182";"2";"MESA 2";"128";"/293/2/15/7/1/107/2/";"/293/2/15/7/1/107/"
"694183";"3";"MESA 3";"128";"/293/2/15/7/1/107/3/";"/293/2/15/7/1/107/"
"694184";"4";"MESA 4";"128";"/293/2/15/7/1/107/4/";"/293/2/15/7/1/107/"
"694185";"8490";"HUAMBO ESCOLA PRIMÁRIA E 1º CICLO PAIVA DOMINGOS DA SILVA";"64";"/293/2/15/7/1/108/";"/293/2/15/7/1/"
"694186";"1";"MESA 1";"128";"/293/2/15/7/1/108/1/";"/293/2/15/7/1/108/"
"694187";"2";"MESA 2";"128";"/293/2/15/7/1/108/2/";"/293/2/15/7/1/108/"
"694188";"3";"MESA 3";"128";"/293/2/15/7/1/108/3/";"/293/2/15/7/1/108/"
