"253011";"EXTERIOR";"CREDENCIAMENTO ELEITORAL NO EXTERIOR";"1";"/470/13/";"/470/"
"596365";"1";"MESA 1";"128";"/470/13/4/1/1/1/";"/470/13/4/1/1/"
"15881";"CG.DOL";"DOLISIE";"32";"/470/13/4/2/";"/470/13/4/"
"596366";"13222";"DOLISIE";"64";"/470/13/4/2/1/";"/470/13/4/2/"
"596367";"1";"MESA 1";"128";"/470/13/4/2/1/1/";"/470/13/4/2/1/"
"15882";"CG.PNR";"PONTA NEGRA";"32";"/470/13/4/3/";"/470/13/4/"
"596368";"13223";"PONTA NEGRA";"64";"/470/13/4/3/1/";"/470/13/4/3/"
"596369";"1";"MESA 1";"128";"/470/13/4/3/1/1/";"/470/13/4/3/1/"
"596370";"2";"MESA 2";"128";"/470/13/4/3/1/2/";"/470/13/4/3/1/"
"596371";"3";"MESA 3";"128";"/470/13/4/3/1/3/";"/470/13/4/3/1/"
"15825";"DE";"ALEMANHA";"16";"/470/13/5/";"/470/13/"
"15826";"DE.BER";"BERLIM";"32";"/470/13/5/1/";"/470/13/5/"
"596353";"13216";"BERLIM";"64";"/470/13/5/1/1/";"/470/13/5/1/"
"596354";"1";"MESA 1";"128";"/470/13/5/1/1/1/";"/470/13/5/1/1/"
"15827";"FR";"FRANÇA";"16";"/470/13/6/";"/470/13/"
"15828";"FR.PAR";"PARIS";"32";"/470/13/6/1/";"/470/13/6/"
"596379";"13227";"PARIS";"64";"/470/13/6/1/1/";"/470/13/6/1/"
"596380";"1";"MESA 1";"128";"/470/13/6/1/1/1/";"/470/13/6/1/1/"
"596381";"2";"MESA 2";"128";"/470/13/6/1/1/2/";"/470/13/6/1/1/"
"596382";"3";"MESA 3";"128";"/470/13/6/1/1/3/";"/470/13/6/1/1/"
"15834";"GB";"GRÃ-BRETANHA";"16";"/470/13/7/";"/470/13/"
"15835";"GB.LON";"LONDRES";"32";"/470/13/7/1/";"/470/13/7/"
"596409";"13235";"LONDRES";"64";"/470/13/7/1/1/";"/470/13/7/1/"
"596410";"1";"MESA 1";"128";"/470/13/7/1/1/1/";"/470/13/7/1/1/"
"15863";"NA";"NAMÍBIA";"16";"/470/13/8/";"/470/13/"
"15864";"NA.WDH";"WINDHOEK";"32";"/470/13/8/1/";"/470/13/8/"
"596390";"13231";"WINDHOEK";"64";"/470/13/8/1/1/";"/470/13/8/1/"
"596391";"1";"MESA 1";"128";"/470/13/8/1/1/1/";"/470/13/8/1/1/"
"596392";"2";"MESA 2";"128";"/470/13/8/1/1/2/";"/470/13/8/1/1/"
"15866";"NA.OHI";"OSHAKATI";"32";"/470/13/8/3/";"/470/13/8/"
"596385";"13229";"OSHAKATI";"64";"/470/13/8/3/1/";"/470/13/8/3/"
"596386";"1";"MESA 1";"128";"/470/13/8/3/1/1/";"/470/13/8/3/1/"
"15870";"NA.NDU";"RUNDU";"32";"/470/13/8/7/";"/470/13/8/"
"596387";"13230";"RUNDU";"64";"/470/13/8/7/1/";"/470/13/8/7/"
"596388";"1";"MESA 1";"128";"/470/13/8/7/1/1/";"/470/13/8/7/1/"
"596389";"2";"MESA 2";"128";"/470/13/8/7/1/2/";"/470/13/8/7/1/"
"15839";"NL";"PAÍSES BAIXOS";"16";"/470/13/9/";"/470/13/"
"15841";"NL.RTM";"ROTERDÃO";"32";"/470/13/9/2/";"/470/13/9/"
"596383";"13228";"ROTERDÃO";"64";"/470/13/9/2/1/";"/470/13/9/2/"
"596384";"1";"MESA 1";"128";"/470/13/9/2/1/1/";"/470/13/9/2/1/"
